Year,State,Brand,Share_Percent,Total_Claims
2023,KS,Rybelsus,4.0,1710
2023,KS,Trulicity,29.4,12527
2023,KY,Mounjaro,19.6,25384
2023,KY,Ozempic,47.6,61608
2023,KY,Rybelsus,4.4,5639
2023,KY,Trulicity,28.4,36757
2023,LA,Mounjaro,23.7,46249
2023,LA,Ozempic,41.8,81548
2023,LA,Rybelsus,3.7,7149
2023,LA,Trulicity,30.9,60239
2023,MA,Mounjaro,8.6,14663
2023,MA,Ozempic,30.7,52282
2023,MA,Rybelsus,3.0,5036
2023,MA,Trulicity,57.7,98207
2023,MD,Mounjaro,9.3,5175
2023,MD,Ozempic,44.8,25061
2023,MD,Rybelsus,4.1,2311
2023,MD,Trulicity,41.8,23380
2023,ME,Mounjaro,11.9,1485
2023,ME,Ozempic,37.9,4717
2023,ME,Rybelsus,2.8,346
2023,ME,Trulicity,47.4,5897
2023,MI,Mounjaro,12.3,20710
2023,MI,Ozempic,39.0,65494
2023,MI,Rybelsus,3.9,6465
2023,MI,Trulicity,44.8,75245
2023,MN,Mounjaro,9.0,3049
2023,MN,Ozempic,51.2,17411
2023,MN,Rybelsus,5.4,1847
2023,MN,Trulicity,34.3,11671
2023,MO,Mounjaro,15.1,21314
2023,MO,Ozempic,48.7,68657
2023,MO,Rybelsus,4.4,6243
2023,MO,Trulicity,31.7,44744
2023,MS,Mounjaro,15.1,12293
2023,MS,Ozempic,53.9,43775
2023,MS,Rybelsus,4.9,3976
2023,MS,Trulicity,26.0,21114
2023,MT,Mounjaro,7.3,473
2023,MT,Ozempic,53.6,3470
2023,MT,Rybelsus,3.0,197
2023,MT,Trulicity,36.1,2335
2023,NC,Mounjaro,12.6,28394
2023,NC,Ozempic,51.9,116944
2023,NC,Rybelsus,7.0,15821
2023,NC,Trulicity,28.5,64206
2023,ND,Mounjaro,7.5,729
2023,ND,Ozempic,64.3,6291
2023,ND,Rybelsus,5.0,490
2023,ND,Trulicity,23.2,2275
2023,NE,Mounjaro,15.0,3023
2023,NE,Ozempic,44.9,9072
2023,NE,Rybelsus,3.6,732
2023,NE,Trulicity,36.5,7365
2023,NH,Mounjaro,18.4,2923
2023,NH,Ozempic,39.6,6301
2023,NH,Rybelsus,3.5,564
2023,NH,Trulicity,38.5,6130
2023,NJ,Mounjaro,12.5,19046
2023,NJ,Ozempic,46.5,70995
2023,NJ,Rybelsus,6.8,10313
2023,NJ,Trulicity,34.2,52218
2023,NM,Mounjaro,10.1,2141
2023,NM,Ozempic,35.2,7432
2023,NM,Rybelsus,6.2,1316
2023,NM,Trulicity,48.4,10224
2023,NV,Mounjaro,17.5,5674
2023,NV,Ozempic,46.1,14964
2023,NV,Rybelsus,5.7,1851
2023,NV,Trulicity,30.8,9989
2023,NY,Mounjaro,11.6,54208
2023,NY,Ozempic,44.6,209237
2023,NY,Rybelsus,8.2,38307
2023,NY,Trulicity,35.6,167011
2023,OH,Mounjaro,12.5,25353
2023,OH,Ozempic,39.1,79197
2023,OH,Rybelsus,3.4,6860
2023,OH,Trulicity,45.0,90973
2023,OK,Mounjaro,18.1,19863
2023,OK,Ozempic,53.1,58387
2023,OK,Rybelsus,2.4,2648
2023,OK,Trulicity,26.4,28982
2023,OR,Mounjaro,7.2,1732
2023,OR,Ozempic,50.9,12241
2023,OR,Rybelsus,3.0,722
2023,OR,Trulicity,38.9,9362
2023,PA,Mounjaro,9.1,25990
2023,PA,Ozempic,42.1,119925
2023,PA,Rybelsus,5.0,14110
2023,PA,Trulicity,43.8,124889
2023,PR,Mounjaro,6.2,2918
2023,PR,Ozempic,31.9,15065
2023,PR,Rybelsus,2.7,1251
2023,PR,Trulicity,59.2,27948
2023,RI,Mounjaro,6.5,729
2023,RI,Ozempic,41.0,4616
2023,RI,Rybelsus,4.1,460
2023,RI,Trulicity,48.5,5458
2023,SC,Mounjaro,18.1,18865
2023,SC,Ozempic,44.9,46796
2023,SC,Rybelsus,5.1,5316
2023,SC,Trulicity,31.9,33203
2023,SD,Mounjaro,14.5,1734
2023,SD,Ozempic,59.4,7098
2023,SD,Rybelsus,2.0,244
2023,SD,Trulicity,24.1,2880
2023,TN,Mounjaro,17.2,27751
2023,TN,Ozempic,49.8,80337
2023,TN,Rybelsus,4.9,7938
2023,TN,Trulicity,28.0,45222
2023,TX,Mounjaro,16.1,83199
2023,TX,Ozempic,50.6,261460
2023,TX,Rybelsus,6.3,32760
2023,TX,Trulicity,26.9,139023
2023,UT,Mounjaro,19.7,3094
2023,UT,Ozempic,37.5,5906
2023,UT,Rybelsus,1.5,243
2023,UT,Trulicity,41.3,6494
2023,VA,Mounjaro,10.1,8925
2023,VA,Ozempic,39.9,35283
2023,VA,Rybelsus,3.6,3139
2023,VA,Trulicity,46.4,41009
2023,VI,Ozempic,15.0,110
2023,VI,Rybelsus,36.8,270
2023,VI,Trulicity,48.2,353
2023,VT,Mounjaro,6.7,450
2023,VT,Ozempic,52.4,3496
2023,VT,Rybelsus,6.2,412
2023,VT,Trulicity,34.7,2313
2023,WA,Mounjaro,12.1,4801
2023,WA,Ozempic,53.1,21036
2023,WA,Rybelsus,4.3,1705
2023,WA,Trulicity,30.4,12041
2023,WI,Mounjaro,10.1,7651
2023,WI,Ozempic,38.3,28938
2023,WI,Rybelsus,3.5,2625
2023,WI,Trulicity,48.1,36288
2023,WV,Mounjaro,14.6,8158
2023,WV,Ozempic,45.7,25431
2023,WV,Rybelsus,4.5,2515
2023,WV,Trulicity,35.2,19599
2023,WY,Mounjaro,14.2,281
2023,WY,Ozempic,55.0,1091
2023,WY,Rybelsus,5.2,103
2023,WY,Trulicity,25.7,510
